sweater,hs_tf,sparkly,noise,lights,objects,colors,image_tf,image_desc
sweater1,Yes,Yes,No,No,No,"Red, Yellow, Blue, White, teal",Yes,octopus dressed like santa
sweater2,Yes,No,No,No,No,Green,No,NA
sweater3,Yes,No,No,No,No,"Red, Yellow, Green, Brown, White, Black",Yes,Houses
sweater4,No,No,No,No,No,the limit does not exist,No,NA
sweater5,Yes,No,No,No,No,"Blue, White, Black",Yes,T-rex
sweater6,No,NA,NA,NA,NA,NA,NA,NA
sweater7,Yes,No,No,No,No,"Red, Orange, Yellow, Green, White, Black",Yes,"3 sweaters - one is hanging gnome ornaments (Hanging with my Gnomies), another is a sheep (Fleece Navidad), another is a sloth wearing a christmas hat"
sweater8,Yes,No,Yes,Yes,Yes,"Red, Green, Blue, Purple, White, Grey",No,NA
sweater9,No,NA,NA,NA,NA,NA,NA,NA
sweater10,No,NA,NA,NA,NA,NA,NA,NA
sweater11,Yes,No,No,No,No,"Red, Yellow, Green, Brown, White, Black, Gray, Silver",Yes,Santa Clause on a Motorcycle with Jesus in the Sidecar
sweater12,Yes,Yes,No,No,Yes,"Red, Orange, Yellow, Green, Blue, Purple, Black",Yes,A kelp forest “Christmas tree” w San Diego fish & invert species
sweater13,Yes,No,No,No,No,"Yellow, Blue",Yes,Star of David
sweater14,No,NA,NA,NA,NA,NA,NA,NA
sweater15,No,No,No,No,No,NA,No,NA
sweater16,Yes,No,No,No,No,"Red, Green, White",Yes,"Picture of Santaur (santa as a centaur, shirtless)"
sweater17,Yes,Yes,No,Yes,No,"Red, Orange, Yellow, Green, Blue, Purple, Black",Yes,A U.F.O.
sweater18,Yes,No,No,No,No,"Red, Green, Blue, White",Yes,Shark in a santa hat
sweater19,No,NA,NA,NA,NA,i really need to get a holiday sweater,NA,NA
sweater20,Yes,No,No,No,No,"Red, Orange, Yellow, Green, Blue, Brown, White",Yes,crocodile with a christmas hat next to a palm tree with lights
sweater21,Yes,Yes,No,No,No,"Red, Yellow, Green, Blue, White",No,NA
sweater22,No,No,No,No,No,N/A,No,I'm wishing I had one now...
sweater23,Yes,No,No,No,No,"Red, Green, Black, Skin Tone",Yes,A bikini and tattoos including a tramp stamp
sweater24,Yes,No,No,No,No,"Blue, White",Yes,Reindeer
sweater25,Yes,Yes,No,No,No,"Red, Orange, Yellow, Green, Blue, Purple, Brown, White, Black",No,NA
sweater26,No,NA,NA,NA,NA,NA,NA,NA
sweater27,No,NA,NA,NA,NA,NA,NA,NA
sweater28,Yes,No,No,No,No,"Red, Gray",Yes,Cleveland Cavaliers Logo
sweater29,Yes,No,No,No,No,"Blue, White",Yes,"star of david, torah, menorah"
sweater30,No,No,No,No,No,NA,No,None
sweater31,Yes,No,No,No,No,"Red, White, teal",Yes,"Dolphin tangled in Christmas lights, sounds darker than in probably was intended to be but it is a good environmental education talking point!"
sweater32,Yes,No,No,No,No,"Red, Green",No,NA
sweater33,Yes,No,No,No,Yes,"Green, Purple, White",Yes,Reindeer
sweater34,No,No,No,No,No,NA,No,NA
sweater35,No,NA,NA,NA,NA,NA,NA,NA
sweater36,Yes,Yes,No,No,Yes,"Red, Green, Silver and gold",Yes,I think its a poinsettia - sorry I don't have a picture since its not with me.
sweater37,No,No,No,No,No,NA,No,NA
sweater38,Yes,Yes,No,No,No,"Red, Yellow, Green, Blue, White, Black",No,NA
sweater39,No,No,No,No,No,NA,No,NA
sweater40,Yes,No,No,No,Yes,"Red, Green, White",Yes,A tree
sweater41,Yes,No,No,No,No,"Red, Brown, White",Yes,Reindeer
sweater42,No,No,No,No,No,"Brown, White, Black, I don't have a *holiday* sweater but i have AN AMAZING sweater I would wear in these moments",No,NA
sweater43,Yes,No,No,No,No,"Red, Orange, Yellow, Green, Blue, Purple, Brown, White, Black",Yes,"Christmas tree, ornaments, lights, etc."
sweater44,No,No,No,No,No,NA,No,NA
sweater45,Yes,Yes,No,No,No,"Red, Green, Brown, White, Gold",Yes,A pug with reindeer antlers on
sweater46,Yes,Yes,No,No,Yes,"Green, gold",Yes,Trees
sweater47,No,NA,NA,NA,NA,NA,NA,NA
sweater48,No,NA,NA,NA,NA,NA,NA,NA
sweater49,Yes,Yes,No,No,No,"Red, Green, Gold",Yes,Christmas Tree
sweater50,Yes,No,No,No,No,"Red, Green",Yes,Grinch
sweater51,Yes,No,No,No,No,"Red, Green, Blue",Yes,a golfer
sweater52,No,No,No,No,No,NA,No,NA
sweater53,No,NA,NA,NA,NA,NA,NA,NA
sweater54,No,NA,NA,NA,NA,NA,NA,NA
sweater55,No,NA,NA,NA,NA,NA,NA,NA
sweater56,Yes,No,No,No,No,"Red, Green, White",Yes,A T-Rex
sweater57,No,NA,NA,NA,NA,NA,NA,NA
sweater58,No,NA,NA,NA,NA,NA,NA,NA
sweater59,Yes,Yes,No,No,Yes,"Red, Green, Brown, White, Black",Yes,"It's a sweater vest with snowmen, snowy trees, and santa on the front."
